"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","Cloud Amount"
"01","1018.6","1021.8","16.1","11.3","73","1.3","30","7.7","20","0.0","0.0","--","0.00","--","--"
"02","1017.8","1021.0","15.8","11.1","74","3.0","20","6.5","40","0.0","0.0","--","0.00","5.0","1.0"
"03","1017.4","1020.6","15.3","11.1","76","3.3","20","6.9","30","0.0","0.0","--","0.00","--","--"
"04","1017.4","1020.6","15.0","10.9","76","3.4","10","6.7","20","0.0","0.0","--","0.00","--","--"
"05","1017.9","1021.1","15.1","11.0","76","4.3","20","7.6","20","0.0","0.0","--","0.00","8.0","9.0"
"06","1018.5","1021.7","15.3","11.1","76","3.8","10","7.3","360","0.0","0.0","0.0","0.00","--","--"
"07","1019.1","1022.3","15.1","11.3","78","3.6","20","7.9","30","0.0","0.0","0.0","0.00","--","--"
"08","1019.8","1023.0","15.9","11.3","74","4.7","20","9.7","20","0.0","0.0","0.0","0.00","8.0","8.0"
"09","1020.1","1023.3","17.0","11.8","71","5.5","20","9.7","30","0.0","0.0","0.7","1.01","8.0","7.0"
"10","1020.0","1023.2","18.6","12.7","69","5.3","20","10.5","20","0.0","0.0","0.9","1.49","--","--"
"11","1019.0","1022.2","20.0","12.9","64","4.7","10","10.5","20","0.0","0.0","1.0","2.23","8.0","0.0"
"12","1018.0","1021.2","20.7","14.1","66","4.5","350","8.4","330","0.0","0.0","1.0","2.40","--","--"
"13","1017.2","1020.4","21.2","14.3","65","4.3","350","8.4","330","0.0","0.0","1.0","2.40","--","--"
"14","1016.2","1019.4","20.9","14.1","65","4.6","360","9.6","10","0.0","0.0","1.0","2.40","8.0","0.0"
"15","1016.1","1019.3","20.3","13.2","64","5.4","360","8.7","20","0.0","0.0","1.0","1.83","--","--"
"16","1016.4","1019.6","19.6","13.4","67","5.8","360","9.8","340","0.0","0.0","1.0","1.31","--","--"
"17","1017.0","1020.2","18.5","13.5","73","4.7","20","8.7","10","0.0","0.0","1.0","0.53","5.0","0.0"
"18","1017.5","1020.7","17.4","13.2","76","4.2","20","8.3","20","0.0","0.0","0.2","0.20","--","--"
"19","1018.1","1021.3","16.8","13.0","78","3.9","20","10.1","30","0.0","0.0","0.0","0.00","--","--"
"20","1018.3","1021.5","16.0","12.9","82","4.4","20","9.1","20","0.0","0.0","--","0.00","4.0","0.0"
"21","1018.7","1021.9","15.6","12.8","83","5.1","20","9.0","30","0.0","0.0","--","0.00","2.0","0.0"
"22","1019.0","1022.2","15.2","12.6","84","4.3","30","8.4","30","0.0","0.0","--","0.00","--","--"
"23","1019.0","1022.2","15.1","12.5","84","4.4","20","7.4","40","0.0","0.0","--","0.00","2.0","0.0"
"24","1019.1","1022.3","14.9","12.4","85","2.9","40","5.8","30","0.0","0.0","--","0.00","--","--"
