"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1002.2","1005.3","27.5","23.8","80","1.9","90","3.3","80","0.0","0.0","--","0.00","--","0","--"
"02","1001.6","1004.7","27.4","24.1","82","1.8","140","3.5","120","0.0","0.0","--","0.00","--","0","--"
"03","1001.1","1004.2","27.4","24.5","84","1.0","90","2.6","130","0.0","0.0","--","0.00","--","0","--"
"04","1001.3","1004.4","27.2","24.5","85","0.7","90","2.7","120","0.0","0.0","--","0.00","--","0","--"
"05","1001.2","1004.3","27.0","24.3","85","1.4","100","2.4","110","0.0","0.0","--","0.00","--","0","--"
"06","1001.1","1004.2","27.3","24.6","85","0.4","120","1.9","110","0.0","0.0","0.0","0.04","--","0","--"
"07","1001.4","1004.5","28.0","24.0","79","1.4","20","2.9","40","0.0","0.0","0.8","0.44","--","0","--"
"08","1001.7","1004.7","28.9","24.9","79","1.5","80","2.7","50","0.0","0.0","0.7","1.12","25.0","2","2.0"
"09","1002.0","1005.0","30.7","24.4","69","1.2","350","3.1","90","0.0","0.0","0.8","1.92","25.0","4","7.0"
"10","1002.0","1005.0","31.3","24.0","65","0.9","120","3.4","90","0.0","0.0","0.9","2.83","--","7","--"
"11","1001.7","1004.7","31.2","25.3","71","2.3","250","4.8","250","0.0","0.0","0.6","2.32","12.0","7","7.0"
"12","1001.0","1004.0","31.6","25.7","71","3.2","300","5.7","310","0.0","0.0","0.3","1.73","--","6","--"
"13","1000.1","1003.1","32.6","25.7","67","4.7","310","7.6","310","0.0","0.0","0.8","3.05","--","10","--"
"14","999.4","1002.4","32.7","25.8","67","4.3","310","8.2","300","0.0","0.0","0.7","2.78","15.0","9","8.0"
"15","998.9","1001.9","33.0","25.6","65","4.4","330","8.6","290","0.0","0.0","1.0","2.91","--","8","--"
"16","998.4","1001.4","32.1","24.7","65","4.7","330","8.4","300","0.0","0.0","1.0","2.20","--","5","--"
"17","998.4","1001.4","31.9","25.0","67","4.7","320","8.8","320","0.0","0.0","1.0","1.86","30.0","2","3.0"
"18","999.2","1002.2","31.0","26.1","75","3.6","350","7.5","320","0.0","0.0","1.0","0.94","--","1","--"
"19","999.9","1002.9","30.0","26.4","81","4.9","340","7.9","340","0.0","0.0","0.1","0.20","--","0","--"
"20","1000.5","1003.5","29.4","25.4","79","4.3","360","7.6","350","0.0","0.0","--","0.00","--","0","--"
"21","1000.7","1003.7","29.4","25.4","79","3.1","10","6.8","10","0.0","0.0","--","0.00","--","0","--"
"22","1000.7","1003.7","29.0","25.8","83","2.9","10","6.0","360","0.0","0.0","--","0.00","--","0","--"
"23","1001.0","1004.0","29.1","25.9","83","2.1","360","4.6","10","0.0","0.0","--","0.00","--","0","--"
"24","1000.6","1003.6","28.5","25.7","85","2.2","10","5.2","10","0.0","0.0","--","0.00","--","0","--"
