"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","Cloud Amount"
"01","1016.6","1019.8","14.1","10.4","78","4.7","20","9.6","30","0.0","0.0","--","0.00","--","--"
"02","1016.1","1019.4","13.6","10.3","80","3.8","30","9.4","20","0.0","0.0","--","0.00","8.0","7.0"
"03","1016.0","1019.3","13.3","10.3","82","3.6","20","7.3","30","0.0","0.0","--","0.00","--","--"
"04","1016.2","1019.5","13.2","10.2","82","4.9","20","8.2","40","0.0","0.0","--","0.00","--","--"
"05","1016.7","1020.0","13.0","10.2","83","4.7","30","8.2","10","0.0","0.0","--","0.00","8.0","0.0"
"06","1017.1","1020.4","13.0","10.1","83","3.7","30","7.3","20","0.0","0.0","0.0","0.00","--","--"
"07","1017.5","1020.8","12.9","10.0","83","4.6","30","7.8","20","0.0","0.0","0.0","0.00","--","--"
"08","1018.2","1021.5","13.9","10.4","79","2.7","20","7.4","30","0.0","0.0","0.9","0.33","10.0","0.0"
"09","1018.7","1021.9","15.5","10.7","73","4.0","30","8.2","30","0.0","0.0","1.0","0.98","10.0","0.0"
"10","1019.0","1022.2","17.1","11.5","70","3.5","30","7.5","40","0.0","0.0","1.0","1.63","--","--"
"11","1018.3","1021.5","18.4","11.8","65","3.8","20","8.3","20","0.0","0.0","1.0","2.13","10.0","2.0"
"12","1017.4","1020.6","20.1","12.4","61","3.8","20","7.2","10","0.0","0.0","1.0","2.40","--","--"
"13","1016.4","1019.6","21.3","13.1","60","4.3","10","7.5","20","0.0","0.0","1.0","2.33","--","--"
"14","1015.9","1019.1","22.2","13.6","58","3.8","20","7.4","20","0.0","0.0","0.9","2.10","7.0","4.0"
"15","1015.8","1019.0","21.3","13.8","62","4.9","350","8.9","10","0.0","0.0","1.0","1.77","--","--"
"16","1016.1","1019.3","20.1","13.5","66","4.1","360","9.7","360","0.0","0.0","0.8","1.01","--","--"
"17","1016.6","1019.8","19.1","12.5","66","4.0","360","7.8","30","0.0","0.0","0.7","0.56","5.0","5.0"
"18","1017.2","1020.4","18.1","12.3","69","4.3","30","8.7","30","0.0","0.0","0.0","0.00","--","--"
"19","1017.9","1021.1","17.3","12.4","73","5.0","20","8.8","30","0.0","0.0","0.0","0.00","--","--"
"20","1018.2","1021.4","16.5","12.4","77","5.0","20","9.3","10","0.0","0.0","--","0.00","5.0","9.0"
"21","1018.7","1021.9","16.4","12.5","78","4.0","30","8.4","30","0.0","0.0","--","0.00","5.0","7.0"
"22","1018.5","1021.7","16.6","12.4","76","4.5","30","8.6","40","0.0","0.0","--","0.00","--","--"
"23","1018.8","1022.0","16.2","12.2","77","3.2","30","7.2","40","0.0","0.0","--","0.00","5.0","6.0"
"24","1018.6","1021.8","16.2","11.6","74","3.8","20","7.8","40","0.0","0.0","--","0.00","--","--"
