"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1005.0","1008.1","28.2","24.8","82","1.1","130","4.0","170","0.0","0.0","--","0.00","--","0","--"
"02","1005.1","1008.2","28.6","24.6","79","0.4","90","1.7","140","0.0","0.0","--","0.00","--","0","--"
"03","1004.8","1007.9","28.4","24.6","80","1.1","70","2.0","80","0.0","0.0","--","0.00","--","0","--"
"04","1004.8","1007.9","27.8","24.2","81","1.5","80","3.5","90","0.0","0.0","--","0.00","--","0","--"
"05","1005.2","1008.3","27.3","24.0","82","1.8","100","3.6","90","0.0","0.0","--","0.00","--","0","--"
"06","1005.5","1008.6","27.7","24.4","82","1.4","60","2.2","110","0.0","0.0","0.0","0.05","--","0","--"
"07","1005.7","1008.8","28.3","24.3","79","1.6","90","3.1","80","0.0","0.0","0.7","0.50","--","0","--"
"08","1005.8","1008.8","30.1","25.2","75","1.2","40","3.1","110","0.0","0.0","1.0","1.24","45.0","2","1.0"
"09","1005.9","1008.9","30.9","25.0","71","2.2","50","4.9","10","0.0","0.0","0.9","1.87","20.0","4","7.0"
"10","1005.5","1008.5","32.5","24.8","64","1.3","20","4.7","40","0.0","0.0","0.8","2.67","--","7","--"
"11","1005.2","1008.2","32.3","24.6","64","1.3","30","5.1","320","0.0","0.0","0.2","1.68","15.0","6","9.0"
"12","1004.7","1007.7","33.2","23.8","58","1.9","340","4.5","10","0.0","0.0","0.3","2.06","--","8","--"
"13","1004.2","1007.2","32.3","25.9","69","2.9","280","5.9","310","0.0","0.0","0.0","0.96","--","4","--"
"14","1003.6","1006.6","31.1","26.4","76","3.9","310","8.3","310","T","0.2","0.0","0.78","13.0","3","9.0"
"15","1004.0","1007.1","28.2","26.0","88","5.4","350","8.9","300","17.5","0.5","0.0","0.48","--","2","--"
"16","1004.6","1007.7","27.1","23.8","82","0.9","100","9.3","320","18.0","1.0","0.0","0.11","--","0","--"
"17","1004.3","1007.4","26.6","23.9","85","1.4","30","6.7","100","1.0","0.8","0.0","0.05","15.0","0","10.0"
"18","1004.6","1007.7","25.8","23.3","86","2.9","30","5.6","90","T","0.2","0.0","0.01","--","0","--"
"19","1005.7","1008.8","26.7","22.8","79","2.0","80","4.9","90","0.0","0.0","0.0","0.01","--","0","--"
"20","1005.8","1008.9","26.6","23.5","83","1.6","100","4.7","90","T","0.1","--","0.00","--","0","--"
"21","1006.4","1009.5","27.2","23.5","80","1.4","90","3.1","40","0.0","0.0","--","0.00","--","0","--"
"22","1007.0","1010.1","27.5","23.5","79","0.7","150","3.5","90","0.0","0.0","--","0.00","--","0","--"
"23","1007.3","1010.4","27.1","23.4","80","1.2","100","2.2","100","0.0","0.0","--","0.00","--","0","--"
"24","1007.0","1010.1","27.0","23.3","80","1.1","70","3.5","80","0.0","0.0","--","0.00","--","0","--"
