觀測時間(hour),氣溫(℃),露點溫度(℃),相對溼度(%),AH(g/m³)
2015-01-01-01,15.9,12.6,81,10.955
2015-01-01-02,15.1,12.2,83,10.7
2015-01-01-03,15.0,11.3,79,10.086
2015-01-01-04,15.0,10.6,75,9.628
2015-01-01-05,15.2,11.2,77,10.012
2015-01-01-06,15.1,11.6,80,10.285
2015-01-01-07,13.0,10.1,83,9.376
2015-01-01-08,13.5,9.6,77,9.051
2015-01-01-09,15.1,10.1,72,9.308
2015-01-01-10,16.5,10.4,67,9.451
2015-01-01-11,18.4,10.8,61,9.643
2015-01-01-12,20.1,11.5,58,10.043
2015-01-01-13,21.4,12.4,56,10.61
2015-01-01-14,21.9,12.4,55,10.592
2015-01-01-15,21.6,11.6,53,10.058
2015-01-01-16,19.8,10.0,53,9.098
2015-01-01-17,17.5,8.9,57,8.516
2015-01-01-18,15.9,7.8,59,7.947
2015-01-01-19,14.8,7.3,61,7.709
2015-01-01-20,14.3,6.7,60,7.411
2015-01-01-21,13.8,6.1,60,7.123
2015-01-01-22,13.1,5.4,60,6.802
2015-01-01-23,12.7,5.3,61,6.764
2015-01-01-24,12.3,5.1,61,6.68
2015-01-02-01,12.3,5.3,62,6.774
2015-01-02-02,11.7,5.2,64,6.741
2015-01-02-03,11.3,5.4,67,6.845
2015-01-02-04,11.4,5.7,68,6.987
2015-01-02-05,10.8,5.9,72,7.099
2015-01-02-06,10.8,5.8,71,7.05
2015-01-02-07,10.8,6.0,72,7.149
2015-01-02-08,11.5,5.8,68,7.033
2015-01-02-09,12.7,6.5,66,7.351
2015-01-02-10,15.6,7.7,59,7.901
2015-01-02-11,17.1,8.9,58,8.527
2015-01-02-12,19.1,10.1,56,9.181
2015-01-02-13,19.8,10.9,56,9.661
2015-01-02-14,20.0,11.2,57,9.849
2015-01-02-15,20.0,11.1,57,9.783
2015-01-02-16,18.9,10.8,59,9.626
2015-01-02-17,18.3,11.0,62,9.775
2015-01-02-18,18.0,10.8,63,9.656
2015-01-02-19,17.1,11.1,68,9.881
2015-01-02-20,16.3,10.4,68,9.457
2015-01-02-21,15.9,10.6,71,9.598
2015-01-02-22,15.3,10.8,75,9.746
2015-01-02-23,15.3,10.7,74,9.682
2015-01-02-24,14.8,10.4,75,9.507
2015-01-03-01,14.6,10.1,74,9.324
2015-01-03-02,14.2,9.8,75,9.151
2015-01-03-03,14.1,9.6,74,9.032
2015-01-03-04,13.4,9.0,75,8.696
2015-01-03-05,13.4,9.1,75,8.755
2015-01-03-06,13.3,9.3,77,8.877
2015-01-03-07,12.8,9.3,79,8.892
2015-01-03-08,14.5,10.5,77,9.58
2015-01-03-09,16.4,11.1,71,9.905
2015-01-03-10,18.3,11.5,65,10.105
2015-01-03-11,20.0,11.5,58,10.046
2015-01-03-12,20.7,11.3,55,9.89
